TRACT,PCSA_City,Percent_Having_Emergency_Visit
147001,BAY SHORE,26.6055
146500,EAST ISLIP,26.626
159000,PATCHOGUE,26.6667
145901,BAY SHORE,26.6667
110901,HUNTINGTON,26.6871
159601,EAST MORICHES,26.7337
135303,SMITHTOWN,26.7568
135102,SMITHTOWN,26.8
158206,PORT JEFFERSON,26.8116
147502,EAST ISLIP,26.8254
146102,BAY SHORE,26.8293
158009,PORT JEFFERSON STATION,26.8482
124102,LINDENHURST,26.9136
159406,EAST MORICHES,26.9231
111900,HUNTINGTON,26.9863
158205,PORT JEFFERSON,27.0142
158408,SHOREHAM,27.027
158309,PORT JEFFERSON,27.0349
159410,RIVERHEAD,27.0553
146001,BAY SHORE,27.0642
146607,EAST ISLIP,27.0833
158709,SHOREHAM,27.1318
122801,DEER PARK,27.1917
122902,WEST BABYLON,27.2152
112206,HUNTINGTON STATION,27.2174
135205,SMITHTOWN,27.2464
146606,EAST ISLIP,27.249
134702,SMITHTOWN,27.2515
158407,PORT JEFFERSON,27.3973
158114,PORT JEFFERSON STATION,27.4059
123402,LINDENHURST,27.409
124401,BABYLON,27.409
146404,EAST ISLIP,27.4194
158102,PORT JEFFERSON STATION,27.451
158317,PORT JEFFERSON,27.4648
112002,HUNTINGTON STATION,27.4696
146203,BAY SHORE,27.5194
190403,HAMPTON BAYS,27.6018
134904,SMITHTOWN,27.6068
135401,SMITHTOWN,27.6532
124402,LINDENHURST,27.6596
201100,BAY SHORE,27.6873
122603,BABYLON,27.8182
169901,RIVERHEAD,27.8414
159404,SHIRLEY,27.9133
159508,SHIRLEY,27.9236
123701,AMITYVILLE,27.9279
146705,BABYLON,27.9452
158607,PATCHOGUE,27.9835
111701,NORTHPORT,28.0587
122300,MASSAPEQUA,28.1106
158507,PORT JEFFERSON STATION,28.2158
145605,BAY SHORE,28.2178
110902,HUNTINGTON STATION,28.2322
146002,BAY SHORE,28.2609
147004,EAST ISLIP,28.3333
159107,PATCHOGUE,28.4483
123301,AMITYVILLE,28.4689
170201,SOUTHOLD,28.4875
159506,SHIRLEY,28.5714
158001,PORT JEFFERSON STATION,28.6467
159509,SHIRLEY,28.6624
158006,PORT JEFFERSON STATION,28.6965
146703,BAY SHORE,28.7356
