TRACT,PCSA_City,All_Beneficiary_Deaths,Beneficiary_Population,Beneficiary_Deaths_Per_Capita
135304,SMITHTOWN,24,501,0.0479041916168
145805,SMITHTOWN,27,560,0.0482142857143
146613,SMITHTOWN,19,394,0.0482233502538
112206,HUNTINGTON STATION,62,1284,0.0482866043614
146203,BAY SHORE,17,351,0.048433048433
146500,EAST ISLIP,27,556,0.0485611510791
134902,SMITHTOWN,28,572,0.048951048951
200901,EAST HAMPTON,37,755,0.0490066225166
111602,NORTHPORT,18,367,0.0490463215259
158802,PATCHOGUE,31,632,0.0490506329114
110902,HUNTINGTON STATION,21,427,0.0491803278689
134907,SMITHTOWN,30,609,0.0492610837438
134906,SMITHTOWN,47,954,0.0492662473795
123101,BABYLON,21,426,0.0492957746479
158116,PORT JEFFERSON STATION,14,284,0.0492957746479
158607,PATCHOGUE,14,283,0.0494699646643
147501,EAST ISLIP,38,766,0.0496083550914
190603,HAMPTON BAYS,40,805,0.0496894409938
146205,BAY SHORE,11,221,0.0497737556561
145807,SMITHTOWN,22,441,0.0498866213152
112104,HUNTINGTON STATION,14,279,0.0501792114695
112001,HUNTINGTON STATION,27,537,0.0502793296089
159511,SHIRLEY,18,357,0.0504201680672
190604,HAMPTON BAYS,26,515,0.0504854368932
146105,BAY SHORE,19,376,0.0505319148936
124101,LINDENHURST,20,394,0.0507614213198
146705,BABYLON,20,394,0.0507614213198
122706,DEER PARK,19,374,0.0508021390374
158609,SMITHTOWN,19,371,0.0512129380054
124001,LINDENHURST,20,389,0.0514138817481
122901,WEST BABYLON,22,426,0.0516431924883
145808,SMITHTOWN,15,290,0.051724137931
147402,BAY SHORE,24,464,0.051724137931
146703,BAY SHORE,16,309,0.0517799352751
146103,BAY SHORE,20,385,0.0519480519481
111503,HUNTINGTON STATION,42,808,0.0519801980198
122707,DEER PARK,15,287,0.0522648083624
135003,SMITHTOWN,28,535,0.0523364485981
146615,PATCHOGUE,23,439,0.0523917995444
158009,PORT JEFFERSON STATION,15,286,0.0524475524476
122501,WYANDANCH,17,324,0.0524691358025
146403,EAST ISLIP,11,209,0.0526315789474
169902,MATTITUCK,54,1026,0.0526315789474
122406,WYANDANCH,14,263,0.0532319391635
158317,PORT JEFFERSON,26,488,0.0532786885246
135102,SMITHTOWN,30,560,0.0535714285714
159404,SHIRLEY,23,428,0.053738317757
146202,BAY SHORE,14,259,0.0540540540541
158508,PORT JEFFERSON STATION,29,533,0.0544090056285
146706,BABYLON,11,202,0.0544554455446
123801,AMITYVILLE,28,514,0.0544747081712
159406,EAST MORICHES,31,569,0.0544815465729
145703,BAY SHORE,17,312,0.0544871794872
135303,SMITHTOWN,23,422,0.0545023696682
146402,EAST ISLIP,22,403,0.0545905707196
190401,RIVERHEAD,32,585,0.0547008547009
147601,EAST ISLIP,18,329,0.0547112462006
146901,BABYLON,30,548,0.0547445255474
123702,AMITYVILLE,40,729,0.0548696844993
146001,BAY SHORE,14,254,0.0551181102362
159201,PATCHOGUE,14,254,0.0551181102362
146606,EAST ISLIP,48,869,0.0552359033372
