TRACT,PCSA_City,All_Medical_Discharges,Beneficiary_Population
159511,SHIRLEY,123,357
145604,BAY SHORE,123,537
135301,SMITHTOWN,123,508
159408,SHIRLEY,125,280
135102,SMITHTOWN,125,560
158114,PORT JEFFERSON STATION,128,561
123801,AMITYVILLE,131,514
111300,HUNTINGTON,133,678
134907,SMITHTOWN,133,609
111505,HUNTINGTON STATION,134,677
135304,SMITHTOWN,134,501
111402,HUNTINGTON STATION,135,669
158511,PORT JEFFERSON STATION,135,505
158510,PORT JEFFERSON STATION,135,466
147003,BAY SHORE,135,822
159203,PATCHOGUE,137,607
145701,SMITHTOWN,137,528
190704,SOUTHAMPTON,138,859
147501,EAST ISLIP,139,766
158111,PORT JEFFERSON STATION,139,420
135003,SMITHTOWN,140,535
147803,WEST SAYVILLE,141,569
147901,BAYPORT,142,616
135002,SMITHTOWN,144,577
190403,HAMPTON BAYS,144,485
158323,PORT JEFFERSON,144,554
112210,SMITHTOWN,144,840
123600,AMITYVILLE,145,708
159508,SHIRLEY,145,486
190707,SOUTHAMPTON,145,705
110102,HUNTINGTON,145,728
123702,AMITYVILLE,146,729
158802,PATCHOGUE,146,632
201001,EAST HAMPTON,146,771
135402,SMITHTOWN,147,814
145805,SMITHTOWN,147,560
110803,NORTHPORT,147,803
147702,WEST SAYVILLE,147,600
112102,HUNTINGTON STATION,147,723
158207,PORT JEFFERSON,148,828
147701,WEST SAYVILLE,148,442
124401,BABYLON,148,543
147300,BAY SHORE,149,646
112001,HUNTINGTON STATION,150,537
146902,BAY SHORE,151,598
159106,PATCHOGUE,151,321
158711,PORT JEFFERSON,155,558
147502,EAST ISLIP,155,689
200901,EAST HAMPTON,156,755
190604,HAMPTON BAYS,158,515
146614,SMITHTOWN,159,713
190708,EAST HAMPTON,159,746
159505,SHIRLEY,160,504
201004,MONTAUK,161,775
190601,HAMPTON BAYS,162,884
111100,HUNTINGTON STATION,163,530
159406,EAST MORICHES,164,569
147200,BAY SHORE,164,533
122601,DEER PARK,166,612
145803,SMITHTOWN,167,832
158104,PORT JEFFERSON STATION,167,561
158001,PORT JEFFERSON STATION,167,688
158321,PORT JEFFERSON,167,809
122603,BABYLON,168,629
201003,EAST HAMPTON,168,673
159410,RIVERHEAD,169,747
146003,BAY SHORE,171,754
110200,HUNTINGTON,173,854
190603,HAMPTON BAYS,179,805
123500,AMITYVILLE,179,795
159105,PATCHOGUE,179,684
169800,RIVERHEAD,180,724
159506,SHIRLEY,180,509
159108,PATCHOGUE,180,632
170001,MATTITUCK,184,1069
122801,DEER PARK,184,760
111900,HUNTINGTON,186,841
190401,RIVERHEAD,188,585
158002,PORT JEFFERSON STATION,192,1005
158606,PORT JEFFERSON STATION,193,530
111701,NORTHPORT,197,688
169701,CALVERTON,199,896
110300,HUNTINGTON,201,1024
135401,SMITHTOWN,203,782
147602,WEST SAYVILLE,204,983
111801,EAST NORTHPORT,205,920
146606,EAST ISLIP,207,869
112002,HUNTINGTON STATION,209,858
169902,MATTITUCK,212,1026
159204,PATCHOGUE,213,546
200902,EAST HAMPTON,213,935
170002,SOUTHOLD,213,1062
123202,AMITYVILLE,217,928
158502,SMITHTOWN,220,649
112103,SMITHTOWN,223,815
190800,SOUTHAMPTON,225,996
158803,PATCHOGUE,227,541
158409,SHOREHAM,227,778
135205,SMITHTOWN,229,759
159412,EAST MORICHES,230,981
158306,PORT JEFFERSON,232,858
158319,PORT JEFFERSON STATION,245,522
124300,WEST BABYLON,245,826
158308,PORT JEFFERSON STATION,247,815
111503,HUNTINGTON STATION,248,808
169901,RIVERHEAD,254,1214
147804,WEST SAYVILLE,255,821
158900,PATCHOGUE,256,736
158704,PORT JEFFERSON,263,1041
110600,NORTHPORT,265,1329
170202,SOUTHOLD,265,1289
158202,PORT JEFFERSON,267,942
134702,SMITHTOWN,278,928
190706,SOUTHAMPTON,289,756
159601,EAST MORICHES,293,1089
134906,SMITHTOWN,293,954
112206,HUNTINGTON STATION,294,1284
135005,SMITHTOWN,300,933
112214,HUNTINGTON STATION,300,1955
170201,SOUTHOLD,304,1448
158006,PORT JEFFERSON STATION,306,1166
134904,SMITHTOWN,310,1170
158712,PATCHOGUE,310,776
158115,PORT JEFFERSON STATION,350,1018
169704,RIVERHEAD,373,1483
158310,PORT JEFFERSON,381,1028
159102,PATCHOGUE,429,996
158410,SHOREHAM,547,1732
