TRACT,PCSA_City,Ambulatory_Visits_B,Beneficiary_Population
123801,AMITYVILLE,4266,514
158508,PORT JEFFERSON STATION,4330,533
122902,WEST BABYLON,4336,548
158011,PORT JEFFERSON STATION,4338,535
112211,SMITHTOWN,4343,581
135103,SMITHTOWN,4371,508
145805,SMITHTOWN,4389,560
147902,BAYPORT,4392,516
123402,LINDENHURST,4411,546
147200,BAY SHORE,4414,533
134703,NORTHPORT,4431,561
146901,BABYLON,4472,548
135301,SMITHTOWN,4486,508
135003,SMITHTOWN,4520,535
159602,EAST MORICHES,4575,548
158323,PORT JEFFERSON,4577,554
190502,WESTHAMPTON BEACH,4591,505
159406,EAST MORICHES,4598,569
146500,EAST ISLIP,4619,556
158206,PORT JEFFERSON,4643,630
112204,HUNTINGTON STATION,4644,538
122602,DEER PARK,4681,486
158104,PORT JEFFERSON STATION,4692,561
135102,SMITHTOWN,4701,560
124200,LINDENHURST,4710,612
159300,PATCHOGUE,4728,520
190503,WESTHAMPTON BEACH,4750,537
190403,HAMPTON BAYS,4756,485
112001,HUNTINGTON STATION,4777,537
135304,SMITHTOWN,4829,501
158712,PATCHOGUE,4840,776
135104,SMITHTOWN,4855,527
190401,RIVERHEAD,4871,585
146800,BABYLON,4877,576
135208,SMITHTOWN,4906,522
158711,PORT JEFFERSON,4918,558
158322,PORT JEFFERSON,4957,440
159108,PATCHOGUE,4959,632
135209,SMITHTOWN,4997,508
134907,SMITHTOWN,5011,609
135002,SMITHTOWN,5044,577
147401,BAY SHORE,5100,621
190604,HAMPTON BAYS,5137,515
147901,BAYPORT,5157,616
147702,WEST SAYVILLE,5163,600
158114,PORT JEFFERSON STATION,5168,561
158001,PORT JEFFERSON STATION,5177,688
135204,SMITHTOWN,5198,624
146003,BAY SHORE,5198,754
111704,EAST NORTHPORT,5202,549
158107,PORT JEFFERSON STATION,5221,584
134902,SMITHTOWN,5234,572
159203,PATCHOGUE,5256,607
122603,BABYLON,5306,629
112102,HUNTINGTON STATION,5340,723
111701,NORTHPORT,5415,688
158802,PATCHOGUE,5433,632
122601,DEER PARK,5435,612
111300,HUNTINGTON,5446,678
158502,SMITHTOWN,5492,649
111505,HUNTINGTON STATION,5598,677
147502,EAST ISLIP,5665,689
147300,BAY SHORE,5705,646
123702,AMITYVILLE,5721,729
158900,PATCHOGUE,5733,736
159105,PATCHOGUE,5779,684
147803,WEST SAYVILLE,5830,569
169800,RIVERHEAD,5869,724
111402,HUNTINGTON STATION,5879,669
110102,HUNTINGTON,5906,728
201003,EAST HAMPTON,5910,673
135401,SMITHTOWN,6010,782
123500,AMITYVILLE,6103,795
158321,PORT JEFFERSON,6124,809
146614,SMITHTOWN,6177,713
123600,AMITYVILLE,6216,708
147804,WEST SAYVILLE,6252,821
147501,EAST ISLIP,6258,766
112103,SMITHTOWN,6301,815
180300,SHELTER ISLAND,6312,690
124300,WEST BABYLON,6357,826
158304,PORT JEFFERSON,6414,801
158207,PORT JEFFERSON,6665,828
159410,RIVERHEAD,6707,747
190706,SOUTHAMPTON,6717,756
200901,EAST HAMPTON,6721,755
190707,SOUTHAMPTON,6790,705
201004,MONTAUK,6865,775
112002,HUNTINGTON STATION,6876,858
110200,HUNTINGTON,6887,854
135402,SMITHTOWN,6908,814
190708,EAST HAMPTON,6913,746
112210,SMITHTOWN,6949,840
158002,PORT JEFFERSON STATION,6977,1005
201001,EAST HAMPTON,6985,771
111900,HUNTINGTON,7007,841
122801,DEER PARK,7015,760
158308,PORT JEFFERSON STATION,7045,815
135205,SMITHTOWN,7083,759
169701,CALVERTON,7088,896
110803,NORTHPORT,7155,803
111503,HUNTINGTON STATION,7191,808
146606,EAST ISLIP,7219,869
190704,SOUTHAMPTON,7568,859
123202,AMITYVILLE,7594,928
135005,SMITHTOWN,7672,933
145803,SMITHTOWN,7773,832
190603,HAMPTON BAYS,7775,805
158409,SHOREHAM,7778,778
158202,PORT JEFFERSON,7797,942
158306,PORT JEFFERSON,7837,858
147003,BAY SHORE,7922,822
190601,HAMPTON BAYS,8083,884
147602,WEST SAYVILLE,8214,983
110300,HUNTINGTON,8236,1024
159102,PATCHOGUE,8248,996
134904,SMITHTOWN,8262,1170
134702,SMITHTOWN,8477,928
169902,MATTITUCK,8577,1026
111801,EAST NORTHPORT,8655,920
159412,EAST MORICHES,8816,981
134906,SMITHTOWN,8831,954
200902,EAST HAMPTON,8836,935
158310,PORT JEFFERSON,9078,1028
158115,PORT JEFFERSON STATION,9324,1018
190800,SOUTHAMPTON,9326,996
170001,MATTITUCK,9363,1069
170002,SOUTHOLD,9434,1062
159601,EAST MORICHES,9635,1089
158704,PORT JEFFERSON,9876,1041
110600,NORTHPORT,10642,1329
158006,PORT JEFFERSON STATION,10731,1166
170202,SOUTHOLD,11988,1289
169901,RIVERHEAD,12173,1214
112206,HUNTINGTON STATION,12638,1284
170201,SOUTHOLD,13756,1448
169704,RIVERHEAD,13946,1483
158410,SHOREHAM,17754,1732
112214,HUNTINGTON STATION,19967,1955
