TRACT,PCSA_City,Beneficiary_Population,Emergency_Visits_B
146901,BABYLON,548,225
110902,HUNTINGTON STATION,427,226
145701,SMITHTOWN,528,229
135304,SMITHTOWN,501,229
122501,WYANDANCH,324,230
111402,HUNTINGTON STATION,669,231
145604,BAY SHORE,537,232
111002,HUNTINGTON STATION,406,237
135204,SMITHTOWN,624,240
158304,PORT JEFFERSON,801,240
158114,PORT JEFFERSON STATION,561,240
158802,PATCHOGUE,632,240
111300,HUNTINGTON,678,240
123301,AMITYVILLE,494,240
159506,SHIRLEY,509,241
146614,SMITHTOWN,713,241
145805,SMITHTOWN,560,242
135102,SMITHTOWN,560,245
190403,HAMPTON BAYS,485,245
146500,EAST ISLIP,556,249
158315,PORT JEFFERSON,504,252
122902,WEST BABYLON,548,253
146902,BAY SHORE,598,253
112102,HUNTINGTON STATION,723,254
112001,HUNTINGTON STATION,537,256
147701,WEST SAYVILLE,442,256
123702,AMITYVILLE,729,258
111100,HUNTINGTON STATION,530,258
124401,BABYLON,543,258
190704,SOUTHAMPTON,859,259
158711,PORT JEFFERSON,558,260
180300,SHELTER ISLAND,690,260
147803,WEST SAYVILLE,569,260
158206,PORT JEFFERSON,630,261
146800,BABYLON,576,267
111505,HUNTINGTON STATION,677,267
158111,PORT JEFFERSON STATION,420,267
159406,EAST MORICHES,569,269
158104,PORT JEFFERSON STATION,561,270
159108,PATCHOGUE,632,272
190604,HAMPTON BAYS,515,273
158323,PORT JEFFERSON,554,275
159105,PATCHOGUE,684,276
201004,MONTAUK,775,277
122601,DEER PARK,612,279
200901,EAST HAMPTON,755,280
147501,EAST ISLIP,766,280
147702,WEST SAYVILLE,600,280
201003,EAST HAMPTON,673,283
201001,EAST HAMPTON,771,284
123600,AMITYVILLE,708,286
158112,PORT JEFFERSON STATION,426,288
135402,SMITHTOWN,814,291
147003,BAY SHORE,822,295
122603,BABYLON,629,295
110803,NORTHPORT,803,297
112210,SMITHTOWN,840,297
158606,PORT JEFFERSON STATION,530,301
110102,HUNTINGTON,728,305
159204,PATCHOGUE,546,306
158207,PORT JEFFERSON,828,307
190707,SOUTHAMPTON,705,307
