TRACT,PCSA_City,Percent_Having_Ambulatory_Visit
158605,PORT JEFFERSON STATION,89.0819
110502,HUNTINGTON,89.0855
147902,BAYPORT,89.1489
158308,PORT JEFFERSON STATION,89.1632
146103,BAY SHORE,89.2045
112212,HUNTINGTON STATION,89.2105
158202,PORT JEFFERSON,89.2421
158323,PORT JEFFERSON,89.2562
158511,PORT JEFFERSON STATION,89.2938
147001,BAY SHORE,89.2966
158607,PATCHOGUE,89.3004
146615,PATCHOGUE,89.3048
110803,NORTHPORT,89.3408
159203,PATCHOGUE,89.4249
159602,EAST MORICHES,89.4309
135303,SMITHTOWN,89.4595
134702,SMITHTOWN,89.4737
146614,SMITHTOWN,89.4992
159412,EAST MORICHES,89.5152
158108,PORT JEFFERSON STATION,89.5349
158505,SMITHTOWN,89.6226
135003,SMITHTOWN,89.6266
158001,PORT JEFFERSON STATION,89.6309
158320,PORT JEFFERSON STATION,89.6341
147300,BAY SHORE,89.6673
147501,EAST ISLIP,89.6707
146706,BABYLON,89.7143
123201,AMITYVILLE,89.7321
135301,SMITHTOWN,89.7321
147100,BAY SHORE,89.7361
111802,EAST NORTHPORT,89.781
112204,HUNTINGTON STATION,89.7917
135402,SMITHTOWN,89.8187
190401,RIVERHEAD,89.8467
134906,SMITHTOWN,89.8618
111002,HUNTINGTON STATION,89.863
110402,HUNTINGTON,89.8907
111402,HUNTINGTON STATION,90.0
146613,SMITHTOWN,90.0
110600,NORTHPORT,90.0265
158111,PORT JEFFERSON STATION,90.027
158205,PORT JEFFERSON,90.0474
190800,SOUTHAMPTON,90.0552
145604,BAY SHORE,90.0662
201004,MONTAUK,90.0826
146402,EAST ISLIP,90.113
147804,WEST SAYVILLE,90.137
111401,HUNTINGTON STATION,90.1554
111300,HUNTINGTON,90.1554
147702,WEST SAYVILLE,90.2072
158206,PORT JEFFERSON,90.2174
146606,EAST ISLIP,90.2216
134907,SMITHTOWN,90.2344
135204,SMITHTOWN,90.2527
110200,HUNTINGTON,90.2537
111504,HUNTINGTON STATION,90.2597
110102,HUNTINGTON,90.2866
169701,CALVERTON,90.3465
122707,DEER PARK,90.3614
147003,BAY SHORE,90.4255
123102,BABYLON,90.4762
169704,RIVERHEAD,90.4937
146205,BAY SHORE,90.5
147901,BAYPORT,90.5028
145805,SMITHTOWN,90.5063
170202,SOUTHOLD,90.5724
135104,SMITHTOWN,90.6054
112210,SMITHTOWN,90.6077
110501,HUNTINGTON,90.6634
147602,WEST SAYVILLE,90.7429
158506,SMITHTOWN,90.9091
158002,PORT JEFFERSON STATION,90.9314
159601,EAST MORICHES,90.9548
111704,EAST NORTHPORT,91.002
159300,PATCHOGUE,91.0088
135208,SMITHTOWN,91.048
201001,EAST HAMPTON,91.092
110901,HUNTINGTON,91.1043
190604,HAMPTON BAYS,91.1392
135103,SMITHTOWN,91.1628
190704,SOUTHAMPTON,91.1877
111801,EAST NORTHPORT,91.201
190601,HAMPTON BAYS,91.2237
134902,SMITHTOWN,91.2698
159410,RIVERHEAD,91.3303
111900,HUNTINGTON,91.3699
200901,EAST HAMPTON,91.3793
135102,SMITHTOWN,91.4
170002,SOUTHOLD,91.4055
158304,PORT JEFFERSON,91.4205
145803,SMITHTOWN,91.4365
135101,SMITHTOWN,91.4425
135205,SMITHTOWN,91.4493
190502,WESTHAMPTON BEACH,91.453
146704,BAY SHORE,91.4773
147402,BAY SHORE,91.6049
112206,HUNTINGTON STATION,91.6522
147004,EAST ISLIP,91.6667
158306,PORT JEFFERSON,91.7105
170101,GREENPORT,91.7197
158802,PATCHOGUE,91.7563
158402,SHOREHAM,91.7582
147803,WEST SAYVILLE,91.7625
135304,SMITHTOWN,91.7778
124601,BABYLON,91.8288
158009,PORT JEFFERSON STATION,91.8288
158010,PORT JEFFERSON STATION,91.8635
135004,SMITHTOWN,92.0455
169703,RIVERHEAD,92.0833
170001,MATTITUCK,92.1
158115,PORT JEFFERSON STATION,92.1225
158102,PORT JEFFERSON STATION,92.1569
158704,PORT JEFFERSON,92.1569
135201,SMITHTOWN,92.2481
158709,SHOREHAM,92.2481
158107,PORT JEFFERSON STATION,92.2495
146705,BABYLON,92.3288
169902,MATTITUCK,92.3913
190504,WESTHAMPTON BEACH,92.446
190603,HAMPTON BAYS,92.4528
158207,PORT JEFFERSON,92.4761
158006,PORT JEFFERSON STATION,92.5097
135209,SMITHTOWN,92.511
201003,EAST HAMPTON,92.6829
169901,RIVERHEAD,92.6872
190403,HAMPTON BAYS,92.7602
112214,HUNTINGTON STATION,92.845
190503,WESTHAMPTON BEACH,93.1034
158114,PORT JEFFERSON STATION,93.3054
200902,EAST HAMPTON,93.4633
146300,EAST ISLIP,93.4708
180300,SHELTER ISLAND,93.8095
158409,SHOREHAM,93.8889
190705,SOUTHAMPTON,93.9394
158410,SHOREHAM,94.3765
190707,SOUTHAMPTON,94.3854
170201,SOUTHOLD,94.4934
158322,PORT JEFFERSON,95.3883
