TRACT,PCSA_City,Primary_Care_Visits_B,Beneficiary_Population
135004,SMITHTOWN,1770,513
124401,BABYLON,1774,543
111505,HUNTINGTON STATION,1785,677
135102,SMITHTOWN,1789,560
147802,WEST SAYVILLE,1795,542
135103,SMITHTOWN,1817,508
158505,SMITHTOWN,1826,478
146402,EAST ISLIP,1834,403
158804,PATCHOGUE,1835,493
135301,SMITHTOWN,1836,508
158322,PORT JEFFERSON,1836,440
158102,PORT JEFFERSON STATION,1843,476
158508,PORT JEFFERSON STATION,1875,533
135304,SMITHTOWN,1895,501
158206,PORT JEFFERSON,1906,630
145604,BAY SHORE,1914,537
159300,PATCHOGUE,1929,520
147902,BAYPORT,1933,516
190707,SOUTHAMPTON,1935,705
110200,HUNTINGTON,1937,854
159602,EAST MORICHES,1938,548
146612,SMITHTOWN,1942,505
158001,PORT JEFFERSON STATION,1950,688
112002,HUNTINGTON STATION,1958,858
190503,WESTHAMPTON BEACH,1980,537
158114,PORT JEFFERSON STATION,1988,561
135104,SMITHTOWN,1991,527
190502,WESTHAMPTON BEACH,1996,505
158323,PORT JEFFERSON,1998,554
134902,SMITHTOWN,2022,572
146901,BABYLON,2032,548
135208,SMITHTOWN,2033,522
123402,LINDENHURST,2042,546
123001,WEST BABYLON,2043,526
190604,HAMPTON BAYS,2044,515
190403,HAMPTON BAYS,2073,485
134907,SMITHTOWN,2084,609
147200,BAY SHORE,2089,533
135209,SMITHTOWN,2094,508
159406,EAST MORICHES,2105,569
158107,PORT JEFFERSON STATION,2111,584
135003,SMITHTOWN,2119,535
111900,HUNTINGTON,2121,841
124200,LINDENHURST,2124,612
190401,RIVERHEAD,2125,585
158711,PORT JEFFERSON,2126,558
110803,NORTHPORT,2143,803
158104,PORT JEFFERSON STATION,2170,561
158712,PATCHOGUE,2173,776
159203,PATCHOGUE,2200,607
122902,WEST BABYLON,2201,548
122602,DEER PARK,2206,486
112103,SMITHTOWN,2222,815
146800,BABYLON,2235,576
145805,SMITHTOWN,2241,560
135002,SMITHTOWN,2260,577
135204,SMITHTOWN,2266,624
146500,EAST ISLIP,2308,556
159108,PATCHOGUE,2323,632
147401,BAY SHORE,2328,621
110300,HUNTINGTON,2349,1024
158802,PATCHOGUE,2400,632
111503,HUNTINGTON STATION,2433,808
147702,WEST SAYVILLE,2452,600
190708,EAST HAMPTON,2458,746
146614,SMITHTOWN,2498,713
190706,SOUTHAMPTON,2514,756
135401,SMITHTOWN,2517,782
147901,BAYPORT,2517,616
122603,BABYLON,2521,629
123600,AMITYVILLE,2614,708
122601,DEER PARK,2617,612
123500,AMITYVILLE,2622,795
123702,AMITYVILLE,2622,729
158321,PORT JEFFERSON,2633,809
112210,SMITHTOWN,2639,840
158207,PORT JEFFERSON,2653,828
190704,SOUTHAMPTON,2668,859
169800,RIVERHEAD,2675,724
159105,PATCHOGUE,2684,684
158502,SMITHTOWN,2698,649
146003,BAY SHORE,2712,754
158900,PATCHOGUE,2727,736
158304,PORT JEFFERSON,2731,801
147803,WEST SAYVILLE,2743,569
159410,RIVERHEAD,2770,747
147502,EAST ISLIP,2798,689
147300,BAY SHORE,2805,646
201003,EAST HAMPTON,2830,673
135402,SMITHTOWN,2872,814
147804,WEST SAYVILLE,2876,821
135205,SMITHTOWN,2882,759
111801,EAST NORTHPORT,2917,920
158002,PORT JEFFERSON STATION,2945,1005
124300,WEST BABYLON,2995,826
147501,EAST ISLIP,3030,766
123202,AMITYVILLE,3032,928
201001,EAST HAMPTON,3087,771
200901,EAST HAMPTON,3121,755
190603,HAMPTON BAYS,3142,805
158306,PORT JEFFERSON,3159,858
122801,DEER PARK,3173,760
180300,SHELTER ISLAND,3188,690
190601,HAMPTON BAYS,3192,884
145803,SMITHTOWN,3200,832
158308,PORT JEFFERSON STATION,3203,815
158202,PORT JEFFERSON,3217,942
169701,CALVERTON,3287,896
134904,SMITHTOWN,3289,1170
147003,BAY SHORE,3374,822
146606,EAST ISLIP,3383,869
135005,SMITHTOWN,3440,933
110600,NORTHPORT,3461,1329
134702,SMITHTOWN,3469,928
200902,EAST HAMPTON,3657,935
158310,PORT JEFFERSON,3674,1028
158409,SHOREHAM,3692,778
190800,SOUTHAMPTON,3765,996
134906,SMITHTOWN,3780,954
169902,MATTITUCK,3783,1026
170001,MATTITUCK,3811,1069
159412,EAST MORICHES,3819,981
170002,SOUTHOLD,3836,1062
201004,MONTAUK,3837,775
159102,PATCHOGUE,3867,996
112206,HUNTINGTON STATION,3893,1284
158704,PORT JEFFERSON,3899,1041
158115,PORT JEFFERSON STATION,3903,1018
159601,EAST MORICHES,3989,1089
147602,WEST SAYVILLE,3990,983
158006,PORT JEFFERSON STATION,4331,1166
169901,RIVERHEAD,4825,1214
170202,SOUTHOLD,5183,1289
112214,HUNTINGTON STATION,5358,1955
169704,RIVERHEAD,5962,1483
170201,SOUTHOLD,6145,1448
158410,SHOREHAM,8072,1732
