TRACT,PCSA_City,Percent_Having_Visit,Beneficiary_Population
124001,LINDENHURST,77.4775,389
158001,PORT JEFFERSON STATION,77.6801,688
146002,BAY SHORE,77.7174,231
123402,LINDENHURST,77.7302,546
190502,WESTHAMPTON BEACH,77.7778,505
147601,EAST ISLIP,77.7778,329
122801,DEER PARK,77.8603,760
146607,EAST ISLIP,77.9167,270
134907,SMITHTOWN,77.9297,609
169800,RIVERHEAD,77.9343,724
158507,PORT JEFFERSON STATION,78.0083,290
158512,SMITHTOWN,78.0876,285
146612,SMITHTOWN,78.1176,505
159108,PATCHOGUE,78.125,632
122705,DEER PARK,78.1481,310
158205,PORT JEFFERSON,78.1991,236
158104,PORT JEFFERSON STATION,78.252,561
159602,EAST MORICHES,78.252,548
146605,SMITHTOWN,78.2609,80
146604,SMITHTOWN,78.3133,398
135204,SMITHTOWN,78.3394,624
158511,PORT JEFFERSON STATION,78.3599,505
146103,BAY SHORE,78.4091,385
122901,WEST BABYLON,78.4741,426
146611,PATCHOGUE,78.4753,254
124500,BABYLON,78.487,478
158900,PATCHOGUE,78.4929,736
158112,PORT JEFFERSON STATION,78.6096,426
158317,PORT JEFFERSON,78.6385,488
122603,BABYLON,78.7273,629
159105,PATCHOGUE,78.7879,684
147503,EAST ISLIP,78.836,211
135205,SMITHTOWN,78.8406,759
135303,SMITHTOWN,78.9189,422
146703,BAY SHORE,78.9272,309
158320,PORT JEFFERSON STATION,78.9634,392
158011,PORT JEFFERSON STATION,78.9809,535
123201,AMITYVILLE,79.0179,252
145701,SMITHTOWN,79.1111,528
147300,BAY SHORE,79.1594,646
158002,PORT JEFFERSON STATION,79.1667,1005
122602,DEER PARK,79.2237,486
201001,EAST HAMPTON,79.3103,771
146800,BABYLON,79.3241,576
158405,SHOREHAM,79.4189,482
147001,BAY SHORE,79.5107,380
145902,BAY SHORE,79.562,321
159203,PATCHOGUE,79.5918,607
159411,EAST MORICHES,79.6296,187
146500,EAST ISLIP,79.6748,556
146615,PATCHOGUE,79.6791,439
158609,SMITHTOWN,79.6923,371
145803,SMITHTOWN,79.6961,832
158505,SMITHTOWN,79.717,478
190601,HAMPTON BAYS,79.7281,884
158110,PORT JEFFERSON STATION,79.7414,272
158508,PORT JEFFERSON STATION,79.7802,533
146206,EAST ISLIP,79.8387,148
200901,EAST HAMPTON,79.8851,755
159601,EAST MORICHES,79.8995,1089
158116,PORT JEFFERSON STATION,79.9197,284
134906,SMITHTOWN,79.9539,954
146614,SMITHTOWN,79.9677,713
158115,PORT JEFFERSON STATION,79.9781,1018
146613,SMITHTOWN,80.0,394
147003,BAY SHORE,80.0532,822
147501,EAST ISLIP,80.0898,766
135002,SMITHTOWN,80.1158,577
190705,SOUTHAMPTON,80.1653,388
158502,SMITHTOWN,80.1681,649
147902,BAYPORT,80.2128,516
190504,WESTHAMPTON BEACH,80.2158,315
146105,BAY SHORE,80.236,376
159300,PATCHOGUE,80.2632,520
158506,SMITHTOWN,80.303,170
134903,SMITHTOWN,80.303,152
158107,PORT JEFFERSON STATION,80.3403,584
134902,SMITHTOWN,80.3571,572
135403,SMITHTOWN,80.4124,341
158009,PORT JEFFERSON STATION,80.5447,286
145901,BAY SHORE,80.5556,215
158202,PORT JEFFERSON,80.5623,942
158315,PORT JEFFERSON,80.6075,504
190401,RIVERHEAD,80.6513,585
135304,SMITHTOWN,80.6667,501
146704,BAY SHORE,80.6818,193
190603,HAMPTON BAYS,80.7278,805
135301,SMITHTOWN,80.8036,508
201003,EAST HAMPTON,80.813,673
146705,BABYLON,80.8219,394
135402,SMITHTOWN,80.8926,814
158605,PORT JEFFERSON STATION,80.8933,459
135209,SMITHTOWN,81.0573,508
146300,EAST ISLIP,81.0997,322
158804,PATCHOGUE,81.1236,493
122707,DEER PARK,81.1245,287
190503,WESTHAMPTON BEACH,81.1359,537
146706,BABYLON,81.1429,202
170202,SOUTHOLD,81.1448,1289
158407,PORT JEFFERSON,81.1644,346
159410,RIVERHEAD,81.1659,747
146608,WEST SAYVILLE,81.2207,243
135208,SMITHTOWN,81.2227,522
147100,BAY SHORE,81.2317,381
158401,SHOREHAM,81.25,293
145808,SMITHTOWN,81.3559,290
169704,RIVERHEAD,81.3559,1483
158709,SHOREHAM,81.3953,297
158108,PORT JEFFERSON STATION,81.3953,201
158111,PORT JEFFERSON STATION,81.4016,420
158607,PATCHOGUE,81.4815,283
158802,PATCHOGUE,81.5412,632
147602,WEST SAYVILLE,81.6,983
158323,PORT JEFFERSON,81.6116,554
158711,PORT JEFFERSON,81.6631,558
147004,EAST ISLIP,81.6667,68
147402,BAY SHORE,81.7284,464
146402,EAST ISLIP,81.9209,403
158304,PORT JEFFERSON,81.9972,801
146606,EAST ISLIP,82.0078,869
190604,HAMPTON BAYS,82.0675,515
135201,SMITHTOWN,82.1705,298
200902,EAST HAMPTON,82.2248,935
159412,EAST MORICHES,82.2999,981
170001,MATTITUCK,82.3,1069
158206,PORT JEFFERSON,82.4275,630
123302,AMITYVILLE,82.4324,85
158308,PORT JEFFERSON STATION,82.4417,815
147702,WEST SAYVILLE,82.4859,600
201004,MONTAUK,82.6446,775
158010,PORT JEFFERSON STATION,82.6772,441
145805,SMITHTOWN,82.7004,560
124601,BABYLON,82.8794,295
158207,PORT JEFFERSON,82.9001,828
169701,CALVERTON,83.0446,896
147901,BAYPORT,83.054,616
190403,HAMPTON BAYS,83.2579,485
158318,PORT JEFFERSON,83.2817,362
170002,SOUTHOLD,83.6198,1062
135004,SMITHTOWN,83.6364,513
158006,PORT JEFFERSON STATION,83.6576,1166
169703,RIVERHEAD,83.75,272
169901,RIVERHEAD,83.7885,1214
146205,BAY SHORE,84.0,221
158306,PORT JEFFERSON,84.0789,858
147803,WEST SAYVILLE,84.2912,569
158114,PORT JEFFERSON STATION,84.5188,561
158402,SHOREHAM,84.6154,416
158102,PORT JEFFERSON STATION,85.049,476
169902,MATTITUCK,85.3261,1026
170101,GREENPORT,85.3503,338
158704,PORT JEFFERSON,85.7298,1041
180300,SHELTER ISLAND,85.873,690
158322,PORT JEFFERSON,87.6214,440
170201,SOUTHOLD,88.1057,1448
158409,SHOREHAM,88.75,778
158410,SHOREHAM,89.7311,1732
